customer_id,gender,age,region,contract_type,internet_service,payment_method,tenure_months,monthly_charges,total_charges,support_tickets,late_payments,senior_citizen,churn,signup_date
10025,Male,63,South,Month-to-Month,Fiber Optic,Electronic Check,65,66.62,4589.21,3.0,3,Yes,No,2023-04-24
10026,Female,48,North,Month-to-Month,DSL,Bank Transfer,62,44.15,2934.09,3.0,1,No,No,2020-12-05
10027,Male,72,North,Month-to-Month,Fiber Optic,Bank Transfer,54,105.52,5271.81,3.0,0,Yes,Yes,2025-11-26
10028,Male,33,West,Month-to-Month,No Internet,Electronic Check,45,47.41,2295.7,0.0,2,No,No,2022-12-03
10029,Female,67,East,Two Year,Fiber Optic,Bank Transfer,49,122.77,6372.38,3.0,2,Yes,No,2025-05-19
10030,Male,49,East,One Year,No Internet,Credit Card,69,130.77,8854.14,2.0,3,No,No,2020-12-07
10031,Female,39,South,One Year,DSL,Credit Card,38,49.5,1982.44,3.0,1,No,No,2023-02-01
10032,Male,46,South,One Year,DSL,Electronic Check,4,88.75,368.44,0.0,4,No,No,2022-09-17
10033,Male,39,West,Month-to-Month,Fiber Optic,Electronic Check,17,98.0,1744.13,3.0,2,No,Yes,2021-09-23
10034,Female,60,East,Two Year,No Internet,Bank Transfer,53,42.31,2142.22,2.0,0,Yes,No,2023-11-26
10035,Female,20,West,Month-to-Month,No Internet,Electronic Check,53,47.45,2574.63,3.0,1,No,No,2023-11-14
10036,Female,71,North,Month-to-Month,DSL,Credit Card,31,68.94,1975.03,0.0,0,Yes,Yes,2023-10-17
10037,Male,27,West,One Year,DSL,Bank Transfer,22,43.54,1011.25,3.0,0,No,No,2023-12-28
10038,Male,59,South,Month-to-Month,DSL,Electronic Check,11,99.28,1170.89,3.0,0,No,No,2022-11-17
10039,Female,38,South,One Year,Fiber Optic,Credit Card,34,80.85,2820.21,3.0,0,No,No,2024-12-20
10040,Male,33,East,Month-to-Month,DSL,Credit Card,15,43.98,661.04,3.0,0,No,No,2025-06-11
10041,Male,29,West,One Year,No Internet,Bank Transfer,10,69.78,723.0,3.0,0,No,No,2022-02-10
10042,Male,19,West,Month-to-Month,Fiber Optic,Credit Card,53,98.66,5083.71,3.0,0,No,Yes,2022-05-21
10043,Male,58,West,Month-to-Month,Fiber Optic,Credit Card,48,68.89,3373.59,1.0,1,No,No,2020-05-07
10044,Female,41,East,One Year,Fiber Optic,Electronic Check,31,37.17,1192.64,1.0,2,No,No,2025-04-03
10045,Male,52,East,Month-to-Month,DSL,Bank Transfer,37,75.16,2621.93,2.0,0,No,Yes,2020-04-15
10046,Female,73,South,Month-to-Month,Fiber Optic,Electronic Check,28,56.58,1493.01,4.0,1,Yes,No,2023-12-10
10047,Male,47,West,Month-to-Month,Fiber Optic,Mailed Check,31,67.16,2153.96,2.0,1,No,No,2023-11-07
10048,Male,74,West,One Year,Fiber Optic,Bank Transfer,70,98.73,6835.67,0.0,2,Yes,No,2024-02-13
10049,Female,47,South,One Year,DSL,Mailed Check,14,57.3,852.15,1.0,4,No,No,2022-09-27
10050,Male,64,South,Month-to-Month,Fiber Optic,Credit Card,16,83.47,1295.33,3.0,0,Yes,Yes,2021-01-18
10051,Female,52,East,Two Year,DSL,Electronic Check,25,103.33,2394.13,1.0,2,No,No,2022-09-28
10052,Female,36,North,Two Year,Fiber Optic,Mailed Check,39,73.2,2923.26,1.0,0,No,No,2020-01-17
10053,Female,67,West,One Year,DSL,Electronic Check,66,122.53,8325.37,3.0,2,Yes,No,2023-10-25
10054,Female,25,South,One Year,No Internet,Electronic Check,38,90.5,3468.49,5.0,3,No,Yes,2025-02-14
10055,Female,43,North,Month-to-Month,Fiber Optic,Electronic Check,41,63.72,2689.15,1.0,1,No,No,2022-12-25
10056,Female,66,North,One Year,Fiber Optic,Mailed Check,40,75.09,3015.02,2.0,1,Yes,No,2022-06-04
10057,Male,57,West,Month-to-Month,DSL,Bank Transfer,64,40.43,2667.27,3.0,1,No,No,2023-02-10
10058,Male,24,South,Month-to-Month,Fiber Optic,Credit Card,16,102.94,1526.86,1.0,0,No,Yes,2023-12-10
10059,Male,47,East,Two Year,Fiber Optic,Bank Transfer,59,115.11,6648.49,2.0,1,No,No,2020-03-11
10060,Male,24,East,One Year,No Internet,Credit Card,11,63.04,661.36,1.0,0,No,No,2025-05-02
10061,Male,20,West,Month-to-Month,No Internet,Bank Transfer,1,25.47,23.84,2.0,0,No,No,2021-03-19
10062,Male,18,East,Month-to-Month,DSL,Credit Card,13,81.01,1008.32,3.0,2,No,No,2023-10-25
10063,Female,53,East,One Year,Fiber Optic,,30,65.45,1866.52,2.0,1,No,No,2021-12-21
10064,Male,42,South,Month-to-Month,Fiber Optic,Electronic Check,69,69.23,5138.48,1.0,3,No,No,2020-08-18
10065,Male,54,South,Month-to-Month,Fiber Optic,Electronic Check,18,94.79,1647.95,3.0,2,No,Yes,2022-05-13
10066,Female,18,West,Month-to-Month,DSL,Credit Card,13,102.8,1278.87,2.0,1,No,No,2021-07-16
10067,Male,32,East,Month-to-Month,DSL,Credit Card,32,90.49,3050.83,1.0,0,No,No,2022-02-07
10068,Female,54,East,One Year,No Internet,Bank Transfer,71,82.74,5798.52,5.0,1,No,No,2020-10-16
10069,Male,30,East,Month-to-Month,Fiber Optic,Credit Card,72,83.07,5905.89,3.0,0,No,No,2023-05-26
10070,Female,57,East,One Year,DSL,Electronic Check,50,38.99,1931.9,2.0,6,No,No,2025-11-17
10071,Female,25,South,Month-to-Month,Fiber Optic,Credit Card,71,95.7,6703.96,1.0,0,No,No,2021-01-29
10072,Male,22,East,One Year,Fiber Optic,Credit Card,31,104.94,3162.87,3.0,1,No,Yes,2021-01-10
10073,Male,26,West,Two Year,DSL,Electronic Check,51,52.12,2567.25,1.0,3,No,No,2025-11-19
10074,Female,18,East,One Year,Fiber Optic,Credit Card,27,77.84,2230.12,2.0,2,No,No,2024-07-08
10075,Female,53,South,Two Year,DSL,Electronic Check,60,94.75,5377.29,1.0,1,No,No,2022-02-20
10076,Female,52,North,Two Year,DSL,Credit Card,33,57.19,1790.96,2.0,1,No,No,2025-11-09
10077,Female,19,South,Month-to-Month,No Internet,Electronic Check,53,65.24,3497.4,1.0,0,No,No,2025-05-28
10078,Male,57,South,One Year,DSL,Mailed Check,72,69.79,4899.18,2.0,0,No,No,2021-02-09
10079,Male,40,West,Two Year,DSL,Bank Transfer,33,83.64,2725.47,3.0,0,No,No,2025-08-30
10080,Male,26,East,Month-to-Month,DSL,Electronic Check,41,79.33,3412.06,2.0,1,No,Yes,2023-12-02
10081,Female,51,North,Month-to-Month,Fiber Optic,Bank Transfer,19,92.48,1870.6,1.0,3,No,Yes,2025-08-28
10082,Female,63,West,Two Year,Fiber Optic,Bank Transfer,41,119.95,5146.58,4.0,1,Yes,No,2024-04-08
10083,Male,31,North,One Year,DSL,Credit Card,42,61.76,2483.91,3.0,0,No,No,2020-10-27
10084,Male,21,East,Month-to-Month,DSL,Bank Transfer,23,48.24,1194.73,0.0,1,No,Yes,2025-03-14
10085,Male,47,East,Month-to-Month,DSL,Electronic Check,33,97.55,3148.68,1.0,1,No,Yes,2021-02-16
10086,Male,48,North,One Year,Fiber Optic,Bank Transfer,20,92.77,1757.16,0.0,0,No,No,2025-07-27
10087,Female,55,North,One Year,Fiber Optic,Credit Card,25,72.27,1806.6,1.0,0,No,No,2025-12-26
10088,Female,28,South,One Year,Fiber Optic,Electronic Check,52,78.0,4202.2,2.0,2,No,No,2024-12-20
10089,Female,52,East,One Year,DSL,Credit Card,12,40.15,449.68,4.0,2,No,No,2025-09-02
10090,Male,25,West,One Year,DSL,Mailed Check,32,77.79,2542.76,1.0,0,No,No,2025-08-21
10091,Male,20,East,One Year,DSL,Bank Transfer,33,35.46,1237.22,2.0,0,No,No,2025-12-22
10092,Female,31,East,One Year,Fiber Optic,Credit Card,68,104.05,6805.72,4.0,3,No,No,2025-10-29
10093,Female,30,West,One Year,Fiber Optic,Electronic Check,15,73.94,1143.37,2.0,0,No,No,2023-10-10
10094,Female,62,East,One Year,DSL,Credit Card,51,37.15,1864.31,2.0,0,Yes,No,2022-12-29
10095,Female,49,East,Month-to-Month,DSL,Electronic Check,6,99.43,588.38,2.0,3,No,No,2023-05-12
10096,Male,51,West,Month-to-Month,Fiber Optic,Electronic Check,69,143.41,9548.26,6.0,1,No,Yes,2021-08-13
10097,Male,62,East,Two Year,DSL,Credit Card,69,77.93,5484.19,2.0,0,Yes,No,2021-12-11
10098,Male,36,East,Month-to-Month,Fiber Optic,Mailed Check,35,79.86,2732.94,3.0,1,No,Yes,2022-03-07
10099,Male,55,East,Month-to-Month,DSL,Bank Transfer,34,48.0,1718.41,4.0,0,No,Yes,2024-05-30
10100,Male,33,East,Month-to-Month,No Internet,Electronic Check,63,78.55,5315.17,4.0,1,No,No,2021-12-31
10101,Male,19,East,Two Year,DSL,Credit Card,68,82.92,6031.08,2.0,1,No,No,2025-02-02
10102,Female,57,North,Month-to-Month,DSL,Mailed Check,18,72.17,1229.04,4.0,1,No,No,2025-09-27
10103,Male,34,East,Month-to-Month,Fiber Optic,Bank Transfer,26,109.39,2623.07,4.0,2,No,Yes,2021-09-01
10104,Male,72,East,Month-to-Month,DSL,Bank Transfer,61,109.85,6634.88,0.0,1,Yes,No,2024-01-07
10105,Female,51,West,One Year,DSL,Mailed Check,48,40.51,2015.69,3.0,0,No,No,2024-04-07
10106,Male,59,North,Month-to-Month,DSL,Bank Transfer,72,79.35,6149.65,4.0,1,No,No,2023-03-07
10107,Male,33,South,Month-to-Month,DSL,Electronic Check,31,24.42,791.35,2.0,1,No,No,2020-08-17
10108,Female,55,South,Month-to-Month,Fiber Optic,Credit Card,34,66.65,2295.31,1.0,1,No,No,2023-11-29
10109,Male,19,North,Two Year,No Internet,Mailed Check,7,85.0,549.91,2.0,0,No,No,2020-12-22
10110,Male,19,West,Month-to-Month,DSL,Credit Card,7,70.83,521.64,1.0,1,No,No,2021-06-24
10111,Male,43,North,Month-to-Month,Fiber Optic,Electronic Check,47,46.73,2082.86,3.0,2,No,No,2022-07-24
10112,Male,30,North,One Year,DSL,Credit Card,8,98.25,730.11,1.0,1,No,No,2024-06-22
10113,Female,73,East,Two Year,Fiber Optic,Bank Transfer,1,68.42,72.26,2.0,0,Yes,No,2021-06-10
10114,Female,64,East,One Year,Fiber Optic,Mailed Check,3,108.27,328.25,3.0,2,Yes,Yes,2023-02-02
10115,Female,48,West,Two Year,Fiber Optic,Electronic Check,53,94.82,4726.79,2.0,3,No,No,2021-09-14
10116,Female,51,South,Two Year,DSL,Credit Card,38,46.17,1722.61,1.0,0,No,No,2021-02-27
10117,Female,56,North,Month-to-Month,No Internet,Mailed Check,51,93.72,4462.76,3.0,0,No,No,2025-03-13
10118,Male,20,North,One Year,DSL,Credit Card,15,79.97,1226.04,1.0,0,No,No,2025-02-21
10119,Female,25,West,Month-to-Month,DSL,Electronic Check,67,76.38,4939.31,1.0,3,No,No,2020-01-04
10120,Female,40,West,One Year,Fiber Optic,Mailed Check,64,75.3,5101.48,2.0,0,No,No,2021-04-13
10121,Female,31,East,Month-to-Month,Fiber Optic,Credit Card,68,59.43,3949.29,5.0,1,No,No,2021-10-25
10122,Female,73,East,Month-to-Month,Fiber Optic,Credit Card,5,76.53,382.32,5.0,1,Yes,No,2021-06-21
10123,Male,72,South,Two Year,DSL,Bank Transfer,10,55.99,520.8,2.0,1,Yes,Yes,2025-03-12
10124,Male,44,North,Month-to-Month,No Internet,Electronic Check,8,93.29,719.52,1.0,2,No,Yes,2023-01-01
10125,Male,71,West,Two Year,Fiber Optic,Mailed Check,12,40.78,503.2,5.0,2,Yes,Yes,2025-06-08
10126,Male,46,South,Month-to-Month,DSL,Credit Card,64,108.77,7224.43,2.0,0,No,No,2025-10-16
10127,Female,56,East,Month-to-Month,No Internet,Credit Card,59,110.14,6230.87,3.0,1,No,No,2025-03-05
10128,Female,70,South,Two Year,Fiber Optic,Electronic Check,67,65.97,4422.69,4.0,1,Yes,No,2023-09-19
10129,Male,56,West,One Year,DSL,Credit Card,50,107.04,5623.91,0.0,0,No,No,2025-11-02
10130,Male,18,West,One Year,DSL,Bank Transfer,23,46.86,1057.07,1.0,2,No,No,2024-02-28
10131,Male,34,West,Month-to-Month,DSL,Bank Transfer,40,100.18,3772.39,1.0,0,No,No,2020-03-19
10132,Male,58,East,One Year,Fiber Optic,Mailed Check,18,66.51,1184.13,1.0,0,No,No,2024-04-23
10133,Male,47,East,One Year,DSL,Credit Card,21,97.84,2087.72,0.0,0,No,No,2025-08-29
10134,Male,70,North,One Year,DSL,Bank Transfer,1,36.07,33.23,1.0,0,Yes,No,2024-05-24
10135,Female,30,South,Month-to-Month,Fiber Optic,Credit Card,38,114.07,4229.63,2.0,0,No,No,2020-06-04
10136,Male,38,South,Two Year,DSL,Bank Transfer,41,99.21,4137.53,1.0,1,No,No,2022-05-29
10137,Male,36,East,One Year,Fiber Optic,Bank Transfer,42,50.26,2263.55,0.0,1,No,No,2024-01-13
10138,Female,70,North,Two Year,No Internet,Credit Card,9,110.93,983.76,3.0,1,Yes,Yes,2020-01-28
10139,Male,36,East,One Year,DSL,Electronic Check,23,97.46,2120.7,2.0,3,No,No,2025-03-25
10140,Female,74,East,One Year,DSL,Electronic Check,11,22.05,243.88,0.0,0,Yes,No,2021-09-01
10141,Female,42,North,Month-to-Month,Fiber Optic,Credit Card,71,74.75,5125.32,2.0,3,No,No,2022-08-31
10142,Male,39,North,Month-to-Month,Fiber Optic,Mailed Check,31,112.94,3341.36,4.0,0,No,No,2023-09-14
10143,Male,48,East,Two Year,Fiber Optic,Electronic Check,26,100.08,2639.72,1.0,1,No,No,2021-02-22
10144,Male,34,East,Month-to-Month,Fiber Optic,Electronic Check,30,89.79,2872.94,1.0,3,No,Yes,2020-01-22
10145,Male,72,South,Month-to-Month,Fiber Optic,Electronic Check,34,110.2,3947.76,3.0,3,Yes,Yes,2020-09-17
10146,Male,40,East,Month-to-Month,DSL,Bank Transfer,46,50.15,2189.63,2.0,1,No,No,2025-10-08
10147,Female,49,West,Month-to-Month,Fiber Optic,Credit Card,69,88.18,6343.26,5.0,2,No,No,2023-12-07
10148,Male,27,West,Two Year,DSL,Electronic Check,5,45.86,219.39,1.0,1,No,No,2020-07-14
10149,Male,27,East,Two Year,Fiber Optic,Credit Card,61,85.37,5033.18,2.0,0,No,No,2022-12-04
10150,Male,53,East,Month-to-Month,DSL,Bank Transfer,38,97.03,3934.95,4.0,1,No,No,2022-06-23
10151,Female,25,West,Month-to-Month,DSL,Credit Card,28,91.54,2731.69,5.0,0,No,No,2020-11-20
10152,Male,71,South,One Year,DSL,Bank Transfer,26,77.57,1909.89,2.0,1,Yes,No,2021-07-21
10153,Male,69,West,One Year,No Internet,Electronic Check,61,96.74,5489.66,0.0,2,Yes,No,2025-03-17
10154,Male,37,North,Two Year,Fiber Optic,Credit Card,23,109.2,2428.46,1.0,1,No,Yes,2022-02-17
10155,Female,49,South,One Year,Fiber Optic,Electronic Check,46,131.93,6148.18,1.0,2,No,No,2022-07-14
10156,Male,67,South,Month-to-Month,Fiber Optic,Electronic Check,30,116.19,3695.9,2.0,4,Yes,Yes,2025-12-02
10157,Female,31,West,Month-to-Month,Fiber Optic,Credit Card,67,103.41,6505.93,2.0,5,No,No,2025-12-02
10158,Female,67,West,Two Year,DSL,Electronic Check,33,90.35,2940.98,2.0,1,Yes,No,2024-06-03
10159,Male,45,North,One Year,DSL,Bank Transfer,3,78.09,225.71,3.0,0,No,No,2025-01-23
10160,Female,63,North,One Year,DSL,Electronic Check,69,65.0,4136.91,3.0,1,Yes,No,2025-04-27
10161,Male,69,West,Month-to-Month,Fiber Optic,Electronic Check,42,108.69,4775.66,3.0,0,Yes,Yes,2020-02-11
10162,Female,70,North,One Year,No Internet,Mailed Check,62,90.93,5920.25,1.0,1,Yes,No,2024-01-23
10163,Female,41,East,One Year,No Internet,Credit Card,58,79.3,4394.25,1.0,0,No,No,2021-07-27
10164,Female,32,West,Month-to-Month,Fiber Optic,Bank Transfer,57,82.14,4420.72,2.0,2,No,No,2024-12-25
10165,Male,39,East,Month-to-Month,Fiber Optic,Bank Transfer,1,80.75,76.16,1.0,0,No,Yes,2024-01-13
10166,Female,47,East,Month-to-Month,No Internet,Credit Card,60,61.78,3685.42,2.0,0,No,No,2021-03-16
10167,Male,21,East,Month-to-Month,No Internet,Bank Transfer,69,103.39,6844.55,2.0,0,No,No,2023-04-27
10168,Male,30,North,Month-to-Month,Fiber Optic,Credit Card,59,116.46,6883.62,2.0,0,No,No,2020-04-13
10169,Male,40,West,Month-to-Month,Fiber Optic,Electronic Check,46,115.39,5210.15,1.0,3,No,Yes,2021-07-22
10170,Female,25,East,One Year,No Internet,Electronic Check,34,45.7,1481.93,3.0,1,No,Yes,2021-04-01
10171,Female,35,West,Month-to-Month,DSL,Credit Card,25,63.02,1638.82,4.0,0,No,No,2020-11-06
10172,Male,29,West,Month-to-Month,Fiber Optic,Electronic Check,42,80.57,3194.64,3.0,2,No,No,2025-03-22
10173,Male,72,East,Two Year,DSL,Electronic Check,29,51.85,1575.56,1.0,2,Yes,No,2024-09-03
10174,Male,48,North,One Year,No Internet,Electronic Check,25,118.56,2993.14,2.0,0,No,No,2024-08-18
10175,Female,31,South,One Year,DSL,Electronic Check,54,82.01,4663.81,1.0,1,No,No,2021-02-10
10176,Male,51,South,Month-to-Month,DSL,Electronic Check,67,80.22,4948.85,2.0,0,No,No,2021-08-03
10177,Female,35,North,One Year,DSL,Electronic Check,15,60.35,941.34,2.0,0,No,No,2025-07-08
10178,Male,73,West,Month-to-Month,Fiber Optic,Electronic Check,4,108.55,403.04,3.0,1,Yes,Yes,2022-12-17
10179,Female,51,East,Two Year,No Internet,Credit Card,38,121.79,4961.31,4.0,0,No,No,2025-02-03
10180,Male,28,East,Month-to-Month,Fiber Optic,Credit Card,20,89.02,1838.15,3.0,2,No,Yes,2020-07-05
10181,Male,58,East,One Year,No Internet,Electronic Check,23,66.16,1477.9,1.0,0,No,No,2024-06-10
10182,Male,29,South,Month-to-Month,Fiber Optic,Mailed Check,37,84.74,3045.01,4.0,3,No,No,2024-03-01
10183,Female,66,East,One Year,No Internet,Bank Transfer,62,63.95,4194.22,4.0,1,Yes,No,2025-03-05
10184,Female,32,East,One Year,Fiber Optic,Credit Card,8,86.93,740.26,2.0,1,No,No,2021-05-04
10185,Male,74,South,Month-to-Month,DSL,Bank Transfer,37,56.71,2229.73,4.0,0,Yes,No,2020-10-06
10186,Female,48,South,Month-to-Month,Fiber Optic,Credit Card,45,64.84,3061.93,2.0,0,No,No,2022-05-04
10187,Female,66,South,One Year,DSL,Electronic Check,33,71.47,2478.9,2.0,1,Yes,No,2025-02-01
10188,Female,75,East,Two Year,No Internet,Mailed Check,7,69.03,488.84,1.0,0,Yes,No,2023-04-02
10189,Male,46,East,Two Year,DSL,Electronic Check,22,60.17,1223.82,1.0,1,No,No,2022-10-01
10190,Male,43,West,Month-to-Month,DSL,Mailed Check,5,108.42,506.26,3.0,1,No,Yes,2021-02-01
10191,Male,35,East,Month-to-Month,Fiber Optic,Credit Card,15,97.39,1495.81,4.0,2,No,No,2021-03-03
10192,Female,49,East,Two Year,No Internet,Electronic Check,21,85.56,1768.35,2.0,0,No,No,2021-01-09
10193,Female,39,West,Month-to-Month,DSL,Credit Card,17,91.23,1567.61,2.0,1,No,No,2021-09-23
10194,Female,55,South,One Year,DSL,Credit Card,56,74.62,3998.92,2.0,0,No,No,2021-11-27
10195,Male,34,West,Two Year,DSL,Electronic Check,50,72.47,3710.13,0.0,1,No,No,2023-12-17
10196,Male,40,North,Two Year,DSL,Credit Card,7,45.5,305.39,0.0,0,No,No,2022-07-16
10197,Female,41,North,Month-to-Month,Fiber Optic,Bank Transfer,50,103.4,5137.58,3.0,3,No,No,2025-06-10
10198,Female,67,East,Month-to-Month,DSL,,60,63.67,3807.19,3.0,3,Yes,No,2025-07-20
10199,Female,25,North,Month-to-Month,DSL,Electronic Check,7,56.01,371.85,2.0,0,No,No,2024-07-23
10200,Female,58,East,One Year,No Internet,Electronic Check,40,104.55,4433.73,1.0,3,No,No,2020-03-18
10201,Female,23,East,Month-to-Month,DSL,Mailed Check,45,38.69,1748.24,2.0,1,No,No,2021-05-02
10202,Male,22,North,Month-to-Month,Fiber Optic,Credit Card,59,129.98,8118.87,3.0,0,No,Yes,2022-11-27
10203,Male,61,East,Month-to-Month,Fiber Optic,Credit Card,55,128.0,6772.52,2.0,1,Yes,No,2020-06-19
10204,Female,74,South,Month-to-Month,Fiber Optic,Mailed Check,64,81.44,4938.91,2.0,1,Yes,Yes,2021-10-03
10205,Female,46,East,One Year,Fiber Optic,Electronic Check,65,131.63,7896.14,2.0,0,No,No,2024-08-26
10206,Male,45,North,One Year,DSL,Credit Card,54,49.79,2513.95,0.0,1,No,No,2024-05-24
10207,Male,28,West,Month-to-Month,No Internet,Bank Transfer,40,96.85,3655.49,3.0,1,No,No,2020-10-18
10208,Female,74,East,Month-to-Month,Fiber Optic,Bank Transfer,53,87.42,4321.06,2.0,0,Yes,No,2025-04-25
10209,Male,18,East,Two Year,Fiber Optic,Electronic Check,44,36.84,1723.89,0.0,1,No,No,2021-08-03
10210,Male,60,North,Month-to-Month,No Internet,Electronic Check,63,56.22,3775.02,1.0,1,Yes,No,2021-02-25
10211,Female,36,South,One Year,DSL,Bank Transfer,2,67.64,144.75,2.0,0,No,No,2020-04-14
10212,Female,26,South,Two Year,DSL,Electronic Check,21,86.48,1949.7,2.0,2,No,No,2023-11-30
10213,Female,44,West,Month-to-Month,DSL,Mailed Check,50,60.07,2999.58,1.0,3,No,No,2022-05-29
10214,Male,51,South,One Year,DSL,Electronic Check,52,65.17,3405.12,3.0,1,No,No,2024-01-22
10215,Female,61,North,Two Year,Fiber Optic,Electronic Check,9,95.52,808.9,1.0,2,Yes,No,2023-02-03
10216,Male,21,North,Month-to-Month,Fiber Optic,Electronic Check,20,99.2,1868.79,1.0,0,No,Yes,2025-02-27
10217,Male,53,West,One Year,Fiber Optic,Bank Transfer,18,84.71,1591.32,4.0,0,No,No,2020-11-10
10218,Female,35,North,Month-to-Month,Fiber Optic,Mailed Check,30,79.43,2518.53,2.0,0,No,No,2021-08-31
10219,Female,32,South,Month-to-Month,No Internet,Bank Transfer,65,95.48,6488.92,2.0,0,No,Yes,2025-10-20
10220,Female,68,West,Two Year,DSL,Mailed Check,24,59.29,1499.13,2.0,1,Yes,No,2021-01-12
10221,Female,30,South,Two Year,Fiber Optic,Electronic Check,47,52.27,2368.87,0.0,2,No,No,2024-02-28
10222,Female,36,North,One Year,DSL,Electronic Check,44,62.14,2719.31,0.0,0,No,No,2020-05-13
10223,Male,66,East,Month-to-Month,Fiber Optic,Bank Transfer,29,100.67,2900.37,1.0,0,Yes,No,2024-12-21
10224,Male,23,East,Month-to-Month,DSL,Mailed Check,68,68.27,5010.25,3.0,1,No,No,2021-01-27
10225,Male,65,West,One Year,DSL,Bank Transfer,17,59.43,1082.92,0.0,1,Yes,Yes,2021-02-18
10226,Male,73,North,Month-to-Month,Fiber Optic,Bank Transfer,5,55.63,282.53,4.0,1,Yes,No,2023-02-10
10227,Female,29,South,One Year,Fiber Optic,Credit Card,50,83.4,3928.46,4.0,0,No,No,2025-10-13
10228,Male,68,East,One Year,DSL,Electronic Check,40,77.7,2987.95,2.0,2,Yes,No,2024-10-17
10229,Female,54,South,One Year,DSL,Mailed Check,46,46.82,2106.77,0.0,1,No,No,2022-05-15
10230,Female,34,South,One Year,Fiber Optic,Electronic Check,51,82.27,4446.32,1.0,1,No,No,2020-10-16
10231,Female,75,East,Month-to-Month,DSL,Credit Card,11,44.65,465.27,5.0,0,Yes,No,2024-02-15
10232,Male,40,South,Month-to-Month,DSL,Bank Transfer,12,68.78,788.35,3.0,0,No,No,2025-04-16
10233,Female,43,South,Month-to-Month,Fiber Optic,Electronic Check,13,130.14,1651.05,2.0,3,No,Yes,2023-08-31
10234,Male,46,North,One Year,Fiber Optic,Bank Transfer,64,91.29,6241.64,2.0,1,No,No,2022-05-27
10235,Male,50,South,One Year,Fiber Optic,Electronic Check,8,47.46,379.91,3.0,0,No,No,2025-06-07
10236,Female,44,South,One Year,No Internet,Bank Transfer,65,80.28,5340.8,2.0,1,No,No,2022-01-21
10237,Male,42,North,One Year,No Internet,Credit Card,9,104.8,926.18,0.0,0,No,No,2022-01-18
10238,Male,73,West,Two Year,No Internet,Credit Card,2,32.4,61.57,1.0,1,Yes,No,2020-12-30
10239,Female,72,South,Month-to-Month,DSL,Credit Card,13,45.86,569.74,3.0,1,Yes,Yes,2020-09-23
10240,Male,27,North,Month-to-Month,DSL,Electronic Check,2,78.46,164.52,4.0,3,No,Yes,2021-02-09
